0.1,3,2,4
0.1,3,2,4
0.1,3,2,4
0.6,3,2,6
0.3,3,2,4
0.15,3,2,6
0.4,3,2,4
0.1,2,2,4
0.15,3,2,6
0.1,2,2,4
0.12,3,2,6
0.2,3,2,4
0.2,3,2,5
0.11,3,2,6
0.25,3,2,6
0.25,2,2,6
0.12,2,2,6
0.1,2,2,4
0.1,2,2,4
0.1,2,2,4
0.1,2,2,4
0.1,2,2,4
0.1,3,2,6
0.1,3,2,4
0.4,3,2,4
0.4,3,2,6
0.1,3,2,6
0.2,3,2,6
0.2,3,2,5
0.15,3,2,5
0.25,3,2,6
0.15,3,2,6
0.25,3,2,6
0.15,3,2,6
0.5,3,2,4
0.5,3,2,6
0.3,3,2,4
0.3,3,2,4
0.5,3,1,4
0.5,3,2,4
0.5,3,1,4
0.5,3,2,4
0.5,3,1,4
0.5,3,2,4
0.3,2,2,4
0.25,3,2,6
